Tyto alba|Barn Owl
Arenaria interpres|Ruddy Turnstone
Corvus corax|Common Raven
Calidris pugnax|Ruff
Recurvirostra avosetta|Pied Avocet
Pluvialis apricaria|European Golden Plover
Actitis hypoleucos|Common Sandpiper
Oenanthe oenanthe|Northern Wheatear
Phylloscopus trochilus|Willow Warbler
Sterna hirundo|Common Tern
Curruca communis|Common Whitethroat
Tringa ochropus|Green Sandpiper
Riparia riparia|Sand Martin
Aythya ferina|Common Pochard
Morus bassanus|Northern Gannet
Falco subbuteo|Eurasian Hobby
Cettia cetti|Cetti's Warbler
Calidris canutus|Red Knot
Acrocephalus scirpaceus|Common Reed Warbler
Calidris alba|Sanderling
Spinus spinus|Eurasian Siskin
Platalea leucorodia|Eurasian Spoonbill
Anas acuta|Northern Pintail
Falco peregrinus|Peregrine Falcon
Tringa erythropus|Spotted Redshank
Turdus iliacus|Redwing
Turdus viscivorus|Mistle Thrush
Milvus milvus|Red Kite
Rallus aquaticus|Water Rail
Pyrrhula pyrrhula|Eurasian Bullfinch
Pluvialis squatarola|Grey Plover
Ichthyaetus melanocephalus|Mediterranean Gull
Anthus petrosus|Rock Pipit
Acrocephalus schoenobaenus|Sedge Warbler
Passer montanus|Eurasian Tree Sparrow
Branta leucopsis|Barnacle Goose
Melanitta nigra|Common Scoter
Certhia familiaris|Eurasian Treecreeper
Somateria mollissima|Common Eider
Saxicola rubetra|Whinchat
Emberiza citrinella|Yellowhammer
Muscicapa striata|Spotted Flycatcher
Psittacula krameri|Ring-necked Parakeet
Numenius phaeopus|Whimbrel
Phoenicurus ochruros|Black Redstart
Anthus trivialis|Tree Pipit
Calidris ferruginea|Curlew Sandpiper
Branta bernicla|Brent Goose
Phoenicurus phoenicurus|Common Redstart
Fringilla montifringilla|Brambling
Calidris minuta|Little Stint
Falco columbarius|Merlin
Certhia brachydactyla|Short-toed Treecreeper
Uria aalge|Common Guillemot
Poecile palustris|Marsh Tit
Turdus pilaris|Fieldfare
Loxia curvirostra|Common Crossbill
Tringa glareola|Wood Sandpiper
Puffinus puffinus|Manx Shearwater
Curruca curruca|Lesser Whitethroat
Alca torda|Razorbill
Pandion haliaetus|Osprey
Rissa tridactyla|Black-legged Kittiwake
Circus cyaneus|Hen Harrier
Pyrrhocorax pyrrhocorax|Red-billed Chough
Acanthis cabaret|Lesser Redpoll
Mergus merganser|Goosander
Charadrius dubius|Little Ringed Plover
Gavia stellata|Red-throated Diver
Apus apus|Common Swift
Mergus serrator|Red-breasted Merganser
Fulmarus glacialis|Northern Fulmar
Corvus cornix|Hooded Crow
Anser albifrons|Greater White-fronted Goose
Sylvia borin|Garden Warbler
Anser brachyrhynchus|Pink-footed Goose
Panurus biarmicus|Bearded Tit
Bubulcus ibis|Western Cattle-Egret
Hydrocoloeus minutus|Little Gull
Lophophanes cristatus|Crested Tit
Grus grus|Common Crane
Turdus torquatus|Ring Ouzel
Regulus ignicapilla|Common Firecrest
Strix aluco|Tawny Owl
Accipiter gentilis|Eurasian Goshawk
Ficedula hypoleuca|European Pied Flycatcher
Pernis apivorus|European Honey-buzzard
Podiceps nigricollis|Black-necked Grebe
Stercorarius parasiticus|Arctic Skua
Cinclus cinclus|White-throated Dipper
Perdix perdix|Grey Partridge
Haliaeetus albicilla|White-tailed Eagle
Sternula albifrons|Little Tern
Coccothraustes coccothraustes|Hawfinch
Phylloscopus inornatus|Yellow-browed Warbler
Cisticola juncidis|Zitting Cisticola
Luscinia svecica|Bluethroat
Bucephala clangula|Common Goldeneye
Alectoris rufa|Red-legged Partridge
Spatula querquedula|Garganey
Dryobates minor|Lesser Spotted Woodpecker
Streptopelia turtur|European Turtle Dove
Emberiza cirlus|Cirl Bunting
Asio flammeus|Short-eared Owl
Cygnus cygnus|Whooper Swan
Larus michahellis|Yellow-legged Gull
Podiceps auritus|Slavonian Grebe
Himantopus himantopus|Black-winged Stilt
Larus cachinnans|Caspian Gull
